Plants,Pollinators
Carduus pycnocephalus,Auca coctei
Carduus pycnocephalus,Bombus dahlbomii
Carduus pycnocephalus,Hylephila fasciolata
Cerastium arvense,Bombus dahlbomii
Cerastium arvense,Caenohalictus 
Cerastium arvense,Hypodynerus
Cerastium arvense,Pseudolucia chilensis
Cerastium arvense,Scaeva melanostoma
Chaetanthera euphrasioides,Caenohalictus 
Chaetanthera euphrasioides,Scaeva melanostoma
Chaetanthera euphrasioides,Trichophthalma
Chaetanthera euphrasioides,Villa 
Chaetanthera flabellata,Faunula leucoglene
Chaetanthera microphylla,Faunula leucoglene
Chaetanthera microphylla,Scaeva melanostoma
Chaetanthera microphylla,Trichophthalma
Chloraea bletioides,Bombus dahlbomii
Chloraea bletioides,Centris nigerrima
Chloraea bletioides,Mycteromyia conica
Chloraea crispa,Bombus dahlbomii
Chloraea lamellata,Ruizantheda proxima
Chuquiraga oppositifolia,Anthidium funereum
Chuquiraga oppositifolia,Auca coctei
Chuquiraga oppositifolia,Bombus dahlbomii
Chuquiraga oppositifolia,Centris nigerrima
Chuquiraga oppositifolia,Cosmosatyrus
Chuquiraga oppositifolia,Faunula leucoglene
Chuquiraga oppositifolia,Megachile 
Chuquiraga oppositifolia,Scaeva melanostoma
Chuquiraga oppositifolia,Tatochila blanchardi
Chuquiraga oppositifolia,Tatochila mercedis
Chuquiraga oppositifolia,Villa 
Cirsium vulgare,Bombus dahlbomii
Cirsium vulgare,Bombus ruderatus
Cistanthe ,Bombus terrestris
Colletia ulicina,Apis mellifera
Colletia ulicina,Bombus dahlbomii
Colletia ulicina,Centris nigerrima
Colletia ulicina,Neomaenas
Colliguaja odorifera,Apis mellifera
Collomia biflora,Yramea lathonoides
Convolvulus chilensis,Tatochila
Crinodendron patagua,Apis mellifera
Cuscuta chilensis,Apis mellifera
Cynoglossum creticum,Megachile 
Cytisus striatus,Bombus dahlbomii
Cytisus striatus,Bombus ruderatus
Daucus carota,Apis mellifera
Daucus carota,Bombus dahlbomii
Daucus carota,Bombus ruderatus
Digitalis purpurea,Bombus dahlbomii
Digitalis purpurea,Bombus ruderatus
Draba gilliesii,Scaeva melanostoma
Echinopsis chiloensis,Apis mellifera
Echinopsis chiloensis,Bilyaxia concinna
Echinopsis chiloensis,Caenohalictus 
Echinopsis chiloensis,Caenohalictus dolator
Echinopsis chiloensis,Centris nigerrima
Echinopsis chiloensis,Diadasia chilensis
Echinopsis chiloensis,Lasioglossum 
Echinopsis chiloensis,Leioproctus semicyaneus
Echinopsis chiloensis,Leptoglossus chilensis
Echinopsis chiloensis,Manduca sexta
Echinopsis chiloensis,Manuelia gayi
Echinopsis chiloensis,Megachile saulcyi
Echinopsis chiloensis,Mitrodetus dentitarsis
Echinopsis chiloensis,Mycteromyia conica
Echinopsis chiloensis,Neofidelia profuga
Echinopsis chiloensis,Pseudagapostemon pissisi
Echinopsis chiloensis,Ruizantheda mutabilis
Echinopsis chiloensis,Ruizantheda proxima
Echinopsis chiloensis,Seioptera importans
Echinopsis chiloensis,Trichothurgus dubius
Echium vulgare,Alloscirtetica gayi
Echium vulgare,Apis mellifera
Echium vulgare,Arthrobrachus nigromaculatus
Echium vulgare,Bombus dahlbomii
Echium vulgare,Bombus ruderatus
Echium vulgare,Bombus terrestris
Echium vulgare,Centris cineraria
Echium vulgare,Chalepogenus 
Echium vulgare,Colias vauthierii
Echium vulgare,Corynura chloris
Echium vulgare,Lasia corvina
Echium vulgare,Lasioglossum 
Echium vulgare,Megachile semirufa
Echium vulgare,Svastrides melanura
Echium vulgare,Syrphus octomaculatus
Echium vulgare,Trichophthalma barbarossa
Embothrium coccineum,Apis mellifera
Embothrium coccineum,Bombus dahlbomii
Embothrium coccineum,Bombus ruderatus
Embothrium coccineum,Diphaglossa gayi
Embothrium coccineum,Elaenia albiceps
Embothrium coccineum,Syrphus octomaculatus
Eriosyce curvispina,Alloscirtetica lanosa
Eriosyce curvispina,Anthrenoides 
Eriosyce curvispina,Caenohalictus 
Eriosyce curvispina,Chilicola 
Eriosyce curvispina,Trichothurgus dubius
Eriosyce subgibbosa,Caenohalictus rostraticeps
Erodium cicutarium,Scaeva melanostoma
Eryngium paniculatum,Bombus dahlbomii
Erythranthe naiandina,Bombus dahlbomii
Escallonia myrtoidea,Apis mellifera
Escallonia myrtoidea,Arthrobrachus
Escallonia myrtoidea,Bombus dahlbomii
Escallonia myrtoidea,Bombus terrestris
Escallonia myrtoidea,Corynura chilensis
Escallonia myrtoidea,Corynura lepida
Escallonia myrtoidea,Haplous 
Escallonia myrtoidea,Hypodynerus chiliensis
Escallonia myrtoidea,Hypodynerus colocolo
Escallonia myrtoidea,Megachile saulcyi
Escallonia myrtoidea,Pepsis limbata
Escallonia myrtoidea,Pseudolucia chilensis
Escallonia myrtoidea,Rhynchalastor scabriusculus
Escallonia myrtoidea,Ruizantheda proxima
Escallonia myrtoidea,Sphecodes chilensis
Escallonia myrtoidea,Tatochila mercedis
Escallonia myrtoidea,Trichophthalma
Escallonia myrtoidea,Vanessa carye
Escallonia pulverulenta,Apis mellifera
Escallonia pulverulenta,Calliopsis trifasciata
Escallonia pulverulenta,Colletes nigritulus
Escallonia pulverulenta,Lonchopria zonalis
Escallonia pulverulenta,Megalybus crassus
Escallonia pulverulenta,Romanophora
Escallonia pulverulenta,Scaptia 
Escallonia pulverulenta,Sphex latreillei
Escallonia pulverulenta,Trichophthalma subaurata
Escallonia pulverulenta,Villa 
Eschscholzia californica,Apis mellifera
Eschscholzia californica,Arthrobrachus nigromaculatus
Eucalyptus globulus,Apis mellifera
Eucryphia cordifolia,Allograpta hortensis
Eucryphia cordifolia,Allograpta pulchra
Eucryphia cordifolia,Aneriophora aureorufa
Eucryphia cordifolia,Apis mellifera
Eucryphia cordifolia,Bilyaxia concinna
Eucryphia cordifolia,Bombus dahlbomii
Eucryphia cordifolia,Bombus terrestris
Eucryphia cordifolia,Chauliognathus 
Eucryphia cordifolia,Colias vauthierii
Eucryphia cordifolia,Corynura chilensis
Eucryphia cordifolia,Corynura chloris
Eucryphia cordifolia,Corynura corinogaster
Eucryphia cordifolia,Corynura lepida
Eucryphia cordifolia,Corynura patagonica
Eucryphia cordifolia,Corynura rubella
Eucryphia cordifolia,Dasyomma caeruleum
Eucryphia cordifolia,Diphaglossa gayi
Eucryphia cordifolia,Dolichogyna chilensis
Eucryphia cordifolia,Eristalis tenax
Eucryphia cordifolia,Eryphus laetus
Eucryphia cordifolia,Fazia macquarti
Eucryphia cordifolia,Hypodynerus
Eucryphia cordifolia,Hypodynerus
Eucryphia cordifolia,Manuelia
Eucryphia cordifolia,Mecopselaphus
Eucryphia cordifolia,Megalybus crassus
Eucryphia cordifolia,Melanophthalma
Eucryphia cordifolia,Mordella 
Eucryphia cordifolia,Mordella erythrura
Eucryphia cordifolia,Peleteria filipalpis
Eucryphia cordifolia,Platycheirus chalconota
Eucryphia cordifolia,Platycheirus fenestrata
Eucryphia cordifolia,Protopsilapha
Eucryphia cordifolia,Rhopalomerus tenuirostris
Eucryphia cordifolia,Ruizantheda mutabilis
Eucryphia cordifolia,Spinoliella herbsti
Eucryphia cordifolia,Stilbosoma cyaneum
Eucryphia cordifolia,Syrphus octomaculatus
Eucryphia cordifolia,Toxomerus calceolatus 
